"genome","chr","start","end","block","identity"
"A","A2",25926358,25926358,"B10",92.99
"B","B2",35513215,35513215,"B10",92.99
"A","A2",33830680,33830680,"B10",94.55
"B","B2",28369344,28369344,"B10",94.55
"A","A2",31052864,31052864,"B10",91.76
"B","B2",30935352,30935352,"B10",91.76
"A","A2",31427564,31427564,"B10",88.4
"B","B2",30298695,30298695,"B10",88.4
"A","A2",27879927,27879927,"B10",90.46
"B","B2",33975713,33975713,"B10",90.46
"A","A2",30202094,30202094,"B10",86.95
"B","B2",31526075,31526075,"B10",86.95
"A","A2",32215911,32215911,"B10",90.19
"B","B2",29364071,29364071,"B10",90.19
"A","A2",29729465,29729465,"B10",92.62
"B","B2",32274156,32274156,"B10",92.62
"A","A2",30495855,30495855,"B10",91.01
"B","B2",32350753,32350753,"B10",91.01
"A","A2",33053999,33053999,"B10",92.73
"B","B2",29216414,29216414,"B10",92.73
"A","A2",29902585,29902585,"B10",92.11
"B","B2",31217405,31217405,"B10",92.11
"A","A2",31001445,31001445,"B10",88.63
"B","B2",31339367,31339367,"B10",88.63
"A","A2",31979890,31979890,"B10",91.53
"B","B2",30260429,30260429,"B10",91.53
"A","A2",35310521,35310521,"B10",90.37
"B","B2",27171974,27171974,"B10",90.37
"A","A2",31346188,31346188,"B10",85.89
"B","B2",30708837,30708837,"B10",85.89
"A","A2",31792147,31792147,"B10",87.08
"B","B2",30269505,30269505,"B10",87.08
"A","A2",30524669,30524669,"B10",92.76
"B","B2",31006662,31006662,"B10",92.76
"A","A2",27042563,27042563,"B10",89.91
"B","B2",35179147,35179147,"B10",89.91
"A","A2",26828030,26828030,"B10",90.72
"B","B2",34476909,34476909,"B10",90.72
"A","A2",29116025,29116025,"B10",92.15
"B","B2",32804362,32804362,"B10",92.15
"A","A2",30978637,30978637,"B10",90.69
"B","B2",31297138,31297138,"B10",90.69
"A","A2",29497986,29497986,"B10",91.71
"B","B2",32088972,32088972,"B10",91.71
"A","A2",31886111,31886111,"B10",89.07
"B","B2",30366275,30366275,"B10",89.07
"A","A2",28237170,28237170,"B10",89.46
"B","B2",33513028,33513028,"B10",89.46
"A","A2",33112356,33112356,"B10",88.15
"B","B2",28820894,28820894,"B10",88.15
"A","A2",30557970,30557970,"B10",92.22
"B","B2",31441400,31441400,"B10",92.22
"A","A2",28601728,28601728,"B10",89.83
"B","B2",32932398,32932398,"B10",89.83
"A","A2",29380711,29380711,"B10",90.93
"B","B2",32605091,32605091,"B10",90.93
"A","A2",29167650,29167650,"B10",95.18
"B","B2",32892205,32892205,"B10",95.18
"A","A2",28824533,28824533,"B10",92.51
"B","B2",33088302,33088302,"B10",92.51
"A","A2",32209332,32209332,"B10",89.19
"B","B2",30047656,30047656,"B10",89.19
"A","A2",33987013,33987013,"B11",77.93
"B","B2",36486970,36486970,"B11",77.93
"A","A2",35449314,35449314,"B11",82.13
"B","B2",38826235,38826235,"B11",82.13
"A","A2",33372741,33372741,"B11",81.43
"B","B2",35914801,35914801,"B11",81.43
"A","A2",38548627,38548627,"B11",78.58
"B","B2",40908369,40908369,"B11",78.58
"A","A2",34177161,34177161,"B11",85.34
"B","B2",36957213,36957213,"B11",85.34
"A","A2",35169071,35169071,"B11",81.87
"B","B2",37699590,37699590,"B11",81.87
"A","A2",36167409,36167409,"B11",79.93
"B","B2",38232451,38232451,"B11",79.93
"A","A2",36965190,36965190,"B11",74.16
"B","B2",40043811,40043811,"B11",74.16
"A","A2",37001426,37001426,"B11",78.77
"B","B2",39817378,39817378,"B11",78.77
"A","A2",36648646,36648646,"B11",83.45
"B","B2",39451538,39451538,"B11",83.45
"A","A2",38829327,38829327,"B11",74.12
"B","B2",41874909,41874909,"B11",74.12
"A","A2",37664061,37664061,"B11",78.62
"B","B2",40414496,40414496,"B11",78.62
"A","A2",31226283,31226283,"B11",85.07
"B","B2",33504788,33504788,"B11",85.07
"A","A2",38869720,38869720,"B11",77.55
"B","B2",41092339,41092339,"B11",77.55
"A","A2",38446081,38446081,"B11",78.01
"B","B2",41351847,41351847,"B11",78.01
"A","A2",41888296,41888296,"B11",77
"B","B2",44786180,44786180,"B11",77
"A","A2",36019520,36019520,"B11",79.02
"B","B2",37989106,37989106,"B11",79.02
"A","A2",33991043,33991043,"B11",81.79
"B","B2",35873687,35873687,"B11",81.79
"A","A2",33261909,33261909,"B11",83.19
"B","B2",35536974,35536974,"B11",83.19
"A","A2",34838431,34838431,"B11",79.6
"B","B2",37013796,37013796,"B11",79.6
"A","A2",32891191,32891191,"B11",81.28
"B","B2",34922524,34922524,"B11",81.28
"A","A2",40146278,40146278,"B11",76.62
"B","B2",42703239,42703239,"B11",76.62
"A","A2",32394674,32394674,"B11",77.09
"B","B2",35075685,35075685,"B11",77.09
"A","A2",39803229,39803229,"B11",81.56
"B","B2",42777175,42777175,"B11",81.56
"A","A2",38420896,38420896,"B11",80.22
"B","B2",41998680,41998680,"B11",80.22
"A","A2",32488312,32488312,"B11",75.56
"B","B2",34642521,34642521,"B11",75.56
"A","A2",39198278,39198278,"B11",82.15
"B","B2",42568423,42568423,"B11",82.15
"A","A2",35326779,35326779,"B11",77.39
"B","B2",37592633,37592633,"B11",77.39
"A","A2",35723406,35723406,"B11",82.43
"B","B2",38690737,38690737,"B11",82.43
"A","A2",36586339,36586339,"B11",75.28
"B","B2",38637320,38637320,"B11",75.28
"A","A2",35917657,35917657,"B11",80.71
"B","B2",38031196,38031196,"B11",80.71
"A","A2",32760353,32760353,"B11",79.93
"B","B2",35023079,35023079,"B11",79.93
"A","A2",44838994,44838994,"B12",92.31
"B","B3",11782614,11782614,"B12",92.31
"A","A2",39333451,39333451,"B12",92.3
"B","B3",7014022,7014022,"B12",92.3
"A","A2",45237214,45237214,"B12",98.31
"B","B3",12135749,12135749,"B12",98.31
"A","A2",41397467,41397467,"B12",92.51
"B","B3",8537287,8537287,"B12",92.51
"A","A2",42380731,42380731,"B12",94.69
"B","B3",10127833,10127833,"B12",94.69
"A","A2",42718497,42718497,"B12",96.78
"B","B3",9833077,9833077,"B12",96.78
"A","A2",44103457,44103457,"B12",92.79
"B","B3",11153710,11153710,"B12",92.79
"A","A2",42096203,42096203,"B12",92.98
"B","B3",9393804,9393804,"B12",92.98
"A","A2",42703644,42703644,"B12",97.65
"B","B3",10170742,10170742,"B12",97.65
"A","A2",44739444,44739444,"B12",95.47
"B","B3",11929162,11929162,"B12",95.47
"A","A2",41123333,41123333,"B12",93
"B","B3",8400521,8400521,"B12",93
"A","A2",43223146,43223146,"B12",89.92
"B","B3",10785024,10785024,"B12",89.92
"A","A2",40754841,40754841,"B12",90.61
"B","B3",8118792,8118792,"B12",90.61
"A","A2",46440366,46440366,"B12",90.48
"B","B3",13450637,13450637,"B12",90.48
"A","A2",43521736,43521736,"B12",94.63
"B","B3",10546346,10546346,"B12",94.63
"A","A2",43609700,43609700,"B12",92.74
"B","B3",10585409,10585409,"B12",92.74
"A","A2",43426986,43426986,"B12",92.8
"B","B3",10608755,10608755,"B12",92.8
"A","A2",41331270,41331270,"B12",95.17
"B","B3",8765625,8765625,"B12",95.17
"A","A2",42416434,42416434,"B12",99.36
"B","B3",9765455,9765455,"B12",99.36
"A","A2",44304623,44304623,"B12",92.48
"B","B3",11479742,11479742,"B12",92.48
"A","A2",44168318,44168318,"B12",94.45
"B","B3",11260883,11260883,"B12",94.45
"A","A2",40143989,40143989,"B12",96.14
"B","B3",8015568,8015568,"B12",96.14
"A","A2",40642751,40642751,"B12",99.36
"B","B3",8739629,8739629,"B12",99.36
"A","A2",41878800,41878800,"B12",88.85
"B","B3",9177837,9177837,"B12",88.85
"A","A2",44163628,44163628,"B12",94.85
"B","B3",11091787,11091787,"B12",94.85
"A","A2",44160307,44160307,"B12",90.36
"B","B3",11223605,11223605,"B12",90.36
"A","A2",40554845,40554845,"B12",93.48
"B","B3",7846981,7846981,"B12",93.48
"A","A2",42703940,42703940,"B12",96.55
"B","B3",9751423,9751423,"B12",96.55
"A","A2",44701320,44701320,"B12",92.29
"B","B3",11689159,11689159,"B12",92.29
"A","A2",39790362,39790362,"B12",90.87
"B","B3",7319596,7319596,"B12",90.87
"A","A2",45035598,45035598,"B12",89.25
"B","B3",12293116,12293116,"B12",89.25
"A","A2",43713210,43713210,"B12",92.02
"B","B3",10793414,10793414,"B12",92.02
"A","A3",8347216,8347216,"B13",92.84
"B","B3",13888295,13888295,"B13",92.84
"A","A3",13356549,13356549,"B13",98.38
"B","B3",18103854,18103854,"B13",98.38
"A","A3",15086878,15086878,"B13",94.56
"B","B3",20112222,20112222,"B13",94.56
"A","A3",12445638,12445638,"B13",93.33
"B","B3",17422535,17422535,"B13",93.33
"A","A3",12077404,12077404,"B13",96.28
"B","B3",17527828,17527828,"B13",96.28
"A","A3",13211449,13211449,"B13",95.32
"B","B3",18372217,18372217,"B13",95.32
"A","A3",11634127,11634127,"B13",96.09
"B","B3",15755232,15755232,"B13",96.09
"A","A3",14161197,14161197,"B13",97.25
"B","B3",19086221,19086221,"B13",97.25
"A","A3",12714048,12714048,"B13",90.4
"B","B3",17015272,17015272,"B13",90.4
"A","A3",8235828,8235828,"B13",98.69
"B","B3",13259167,13259167,"B13",98.69
"A","A3",8544751,8544751,"B13",94.48
"B","B3",13698487,13698487,"B13",94.48
"A","A3",9712697,9712697,"B13",91.96
"B","B3",15083972,15083972,"B13",91.96
"A","A3",12913915,12913915,"B13",97.28
"B","B3",18040971,18040971,"B13",97.28
"A","A3",13347283,13347283,"B13",98.62
"B","B3",17910861,17910861,"B13",98.62
"A","A3",15150256,15150256,"B13",95.8
"B","B3",19914118,19914118,"B13",95.8
"A","A3",9498994,9498994,"B13",95.21
"B","B3",14816068,14816068,"B13",95.21
"A","A3",18011397,18011397,"B13",89.78
"B","B3",22344146,22344146,"B13",89.78
"A","A3",11937695,11937695,"B13",99.6
"B","B3",16505040,16505040,"B13",99.6
"A","A3",9823010,9823010,"B13",96.55
"B","B3",14887365,14887365,"B13",96.55
"A","A3",14977831,14977831,"B13",98.07
"B","B3",19995845,19995845,"B13",98.07
"A","A3",14929294,14929294,"B13",98.26
"B","B3",19810899,19810899,"B13",98.26
"A","A3",12821001,12821001,"B13",96.82
"B","B3",18059310,18059310,"B13",96.82
"A","A3",11859829,11859829,"B13",92.22
"B","B3",17295788,17295788,"B13",92.22
"A","A3",11118897,11118897,"B13",89.71
"B","B3",15646190,15646190,"B13",89.71
"A","A3",10133480,10133480,"B13",99.6
"B","B3",13727649,13727649,"B13",99.6
"A","A3",12841689,12841689,"B13",95.67
"B","B3",17891308,17891308,"B13",95.67
"A","A3",11010541,11010541,"B13",98.5
"B","B3",15592375,15592375,"B13",98.5
"A","A3",11280499,11280499,"B13",95.24
"B","B3",15793136,15793136,"B13",95.24
"A","A3",13472378,13472378,"B13",94.5
"B","B3",18485379,18485379,"B13",94.5
"A","A3",8321484,8321484,"B13",97.75
"B","B3",12058514,12058514,"B13",97.75
"A","A3",15445020,15445020,"B13",91.49
"B","B3",20597937,20597937,"B13",91.49
"A","A3",14904977,14904977,"B13",95.46
"B","B3",18332662,18332662,"B13",95.46
"A","A3",18934435,18934435,"B14",84.7
"B","B3",20087333,20087333,"B14",84.7
"A","A3",17378815,17378815,"B14",81.61
"B","B3",21392617,21392617,"B14",81.61
"A","A3",14587229,14587229,"B14",86.49
"B","B3",25052102,25052102,"B14",86.49
"A","A3",16624226,16624226,"B14",82.19
"B","B3",23221976,23221976,"B14",82.19
"A","A3",18924955,18924955,"B14",87.25
"B","B3",21120715,21120715,"B14",87.25
"A","A3",12845157,12845157,"B14",83.8
"B","B3",24491558,24491558,"B14",83.8
"A","A3",17417083,17417083,"B14",86.26
"B","B3",21566745,21566745,"B14",86.26
"A","A3",14487643,14487643,"B14",87.84
"B","B3",24686833,24686833,"B14",87.84
"A","A3",19146760,19146760,"B14",82.81
"B","B3",19950918,19950918,"B14",82.81
"A","A3",18528790,18528790,"B14",86.87
"B","B3",20703226,20703226,"B14",86.87
"A","A3",13971488,13971488,"B14",86.43
"B","B3",24675540,24675540,"B14",86.43
"A","A3",17532896,17532896,"B14",84.12
"B","B3",21208095,21208095,"B14",84.12
"A","A3",20817529,20817529,"B14",83.74
"B","B3",18801008,18801008,"B14",83.74
"A","A3",22002464,22002464,"B14",84.6
"B","B3",18075213,18075213,"B14",84.6
"A","A3",14356166,14356166,"B14",84.51
"B","B3",24034862,24034862,"B14",84.51
"A","A3",15047049,15047049,"B14",84.64
"B","B3",23750679,23750679,"B14",84.64
"A","A3",20946274,20946274,"B14",88.82
"B","B3",17719946,17719946,"B14",88.82
"A","A3",19279166,19279166,"B14",84.03
"B","B3",19730551,19730551,"B14",84.03
"A","A3",18049848,18049848,"B14",84.18
"B","B3",20941415,20941415,"B14",84.18
"A","A3",20426496,20426496,"B14",85.11
"B","B3",18735610,18735610,"B14",85.11
"A","A3",16133618,16133618,"B14",86.43
"B","B3",22512928,22512928,"B14",86.43
"A","A3",14085776,14085776,"B14",86.87
"B","B3",23912848,23912848,"B14",86.87
"A","A3",20942761,20942761,"B14",90.97
"B","B3",18560579,18560579,"B14",90.97
"A","A3",17015221,17015221,"B14",85
"B","B3",21679499,21679499,"B14",85
"A","A3",20553093,20553093,"B14",81.42
"B","B3",18795911,18795911,"B14",81.42
"A","A3",14335334,14335334,"B14",86.93
"B","B3",23594774,23594774,"B14",86.93
"A","A3",18632461,18632461,"B14",82.91
"B","B3",20214583,20214583,"B14",82.91
"A","A3",20178342,20178342,"B14",83.54
"B","B3",19807417,19807417,"B14",83.54
"A","A3",18395027,18395027,"B14",89.56
"B","B3",20590041,20590041,"B14",89.56
"A","A3",18532780,18532780,"B14",83.58
"B","B3",20994884,20994884,"B14",83.58
"A","A3",16065444,16065444,"B14",91.92
"B","B3",22444457,22444457,"B14",91.92
"A","A3",18412872,18412872,"B14",83.69
"B","B3",20572596,20572596,"B14",83.69
"A","A3",21785583,21785583,"B15",84.02
"B","B3",26504137,26504137,"B15",84.02
"A","A3",25201024,25201024,"B15",82.17
"B","B3",28725458,28725458,"B15",82.17
"A","A3",21735096,21735096,"B15",82.89
"B","B3",25865939,25865939,"B15",82.89
"A","A3",20848846,20848846,"B15",84.11
"B","B3",24743653,24743653,"B15",84.11
"A","A3",23390586,23390586,"B15",82.05
"B","B3",27037949,27037949,"B15",82.05
"A","A3",23496898,23496898,"B15",86.98
"B","B3",27014257,27014257,"B15",86.98
"A","A3",24491392,24491392,"B15",80.62
"B","B3",27894839,27894839,"B15",80.62
"A","A3",24486361,24486361,"B15",81.43
"B","B3",27894345,27894345,"B15",81.43
"A","A3",23121368,23121368,"B15",81.36
"B","B3",27610314,27610314,"B15",81.36
"A","A3",24884434,24884434,"B15",88.32
"B","B3",27661731,27661731,"B15",88.32
"A","A3",23966266,23966266,"B15",84.26
"B","B3",28106924,28106924,"B15",84.26
"A","A3",20828326,20828326,"B15",83.26
"B","B3",24135850,24135850,"B15",83.26
"A","A3",23460177,23460177,"B15",84.46
"B","B3",26869752,26869752,"B15",84.46
"A","A3",21195034,21195034,"B15",87.18
"B","B3",25532388,25532388,"B15",87.18
"A","A3",20880663,20880663,"B15",81.46
"B","B3",25206520,25206520,"B15",81.46
"A","A3",22022829,22022829,"B15",85.63
"B","B3",26132357,26132357,"B15",85.63
"A","A3",20051921,20051921,"B15",85.39
"B","B3",23273262,23273262,"B15",85.39
"A","A3",22044733,22044733,"B15",81.87
"B","B3",26368996,26368996,"B15",81.87
"A","A3",20001856,20001856,"B15",81.26
"B","B3",24742744,24742744,"B15",81.26
"A","A3",20125101,20125101,"B15",81.55
"B","B3",24029360,24029360,"B15",81.55
"A","A3",18711030,18711030,"B15",85.33
"B","B3",22637154,22637154,"B15",85.33
"A","A3",23312023,23312023,"B15",83.46
"B","B3",27365237,27365237,"B15",83.46
"A","A3",22293884,22293884,"B15",79.92
"B","B3",26015992,26015992,"B15",79.92
"A","A3",22653911,22653911,"B15",85.13
"B","B3",26742980,26742980,"B15",85.13
"A","A3",21981436,21981436,"B15",82.72
"B","B3",25585584,25585584,"B15",82.72
"A","A3",23156547,23156547,"B15",88.63
"B","B3",26871494,26871494,"B15",88.63
"A","A3",20245556,20245556,"B15",81.9
"B","B3",24623198,24623198,"B15",81.9
"A","A3",23613947,23613947,"B15",84.67
"B","B3",26706728,26706728,"B15",84.67
"A","A3",18228244,18228244,"B15",85.62
"B","B3",23002252,23002252,"B15",85.62
"A","A3",20845762,20845762,"B15",83.7
"B","B3",24984617,24984617,"B15",83.7
"A","A3",20371859,20371859,"B15",85.36
"B","B3",24252104,24252104,"B15",85.36
"A","A3",23215377,23215377,"B15",85.88
"B","B3",27640861,27640861,"B15",85.88
"A","A3",28426046,28426046,"B16",97.22
"B","B3",30892951,30892951,"B16",97.22
"A","A3",30225677,30225677,"B16",94.71
"B","B3",31845470,31845470,"B16",94.71
"A","A3",32492248,32492248,"B16",93.98
"B","B3",35258221,35258221,"B16",93.98
"A","A3",33661461,33661461,"B16",99.6
"B","B3",36151531,36151531,"B16",99.6
"A","A3",27447346,27447346,"B16",97.51
"B","B3",29918924,29918924,"B16",97.51
"A","A3",23839313,23839313,"B16",99.6
"B","B3",25268528,25268528,"B16",99.6
"A","A3",29274350,29274350,"B16",94.25
"B","B3",31126073,31126073,"B16",94.25
"A","A3",28813212,28813212,"B16",92.98
"B","B3",31417834,31417834,"B16",92.98
"A","A3",29926012,29926012,"B16",94.27
"B","B3",31607742,31607742,"B16",94.27
"A","A3",24552899,24552899,"B16",94.92
"B","B3",26594198,26594198,"B16",94.92
"A","A3",23887717,23887717,"B16",89.37
"B","B3",25693005,25693005,"B16",89.37
"A","A3",27683112,27683112,"B16",99.16
"B","B3",29406207,29406207,"B16",99.16
"A","A3",26790453,26790453,"B16",95.55
"B","B3",29445850,29445850,"B16",95.55
"A","A3",31696352,31696352,"B16",91.9
"B","B3",34417927,34417927,"B16",91.9
"A","A3",29874451,29874451,"B16",96.83
"B","B3",32116131,32116131,"B16",96.83
"A","A3",27277528,27277528,"B16",96.53
"B","B3",28770788,28770788,"B16",96.53
"A","A3",25412723,25412723,"B16",90.86
"B","B3",26235449,26235449,"B16",90.86
"A","A3",26954108,26954108,"B16",93.1
"B","B3",28932729,28932729,"B16",93.1
"A","A3",29713065,29713065,"B16",92.35
"B","B3",31692974,31692974,"B16",92.35
"A","A3",27277622,27277622,"B16",94.52
"B","B3",29857152,29857152,"B16",94.52
"A","A3",25858469,25858469,"B16",94.59
"B","B3",28216567,28216567,"B16",94.59
"A","A3",28699393,28699393,"B16",95.61
"B","B3",30755363,30755363,"B16",95.61
"A","A3",23324254,23324254,"B16",93.55
"B","B3",25136640,25136640,"B16",93.55
"A","A3",28147487,28147487,"B16",92.61
"B","B3",29651275,29651275,"B16",92.61
"A","A3",25056169,25056169,"B16",99.46
"B","B3",26532631,26532631,"B16",99.46
"A","A3",27002200,27002200,"B16",95.55
"B","B3",28366228,28366228,"B16",95.55
"A","A3",27826239,27826239,"B16",96.95
"B","B3",29890969,29890969,"B16",96.95
"A","A3",27618952,27618952,"B16",96.03
"B","B3",29275299,29275299,"B16",96.03
"A","A3",26877995,26877995,"B16",95.92
"B","B3",28314783,28314783,"B16",95.92
"A","A3",25688415,25688415,"B16",95.46
"B","B3",27686231,27686231,"B16",95.46
"A","A3",32514071,32514071,"B16",95.68
"B","B3",34568851,34568851,"B16",95.68
"A","A3",28866817,28866817,"B16",94.59
"B","B3",31484100,31484100,"B16",94.59
"A","A3",37443697,37443697,"B17",92.92
"B","B3",39839934,39839934,"B17",92.92
"A","A3",33403584,33403584,"B17",88.77
"B","B3",35563851,35563851,"B17",88.77
"A","A3",35439849,35439849,"B17",90.98
"B","B3",37644247,37644247,"B17",90.98
"A","A3",31100711,31100711,"B17",89.63
"B","B3",33064620,33064620,"B17",89.63
"A","A3",37616599,37616599,"B17",96.26
"B","B3",39902132,39902132,"B17",96.26
"A","A3",32677866,32677866,"B17",92.78
"B","B3",35144823,35144823,"B17",92.78
"A","A3",36848866,36848866,"B17",89.02
"B","B3",39535860,39535860,"B17",89.02
"A","A3",34964730,34964730,"B17",85.01
"B","B3",37902798,37902798,"B17",85.01
"A","A3",35119570,35119570,"B17",83.32
"B","B3",37652298,37652298,"B17",83.32
"A","A3",32394570,32394570,"B17",91.56
"B","B3",35289567,35289567,"B17",91.56
"A","A3",35251103,35251103,"B17",89.19
"B","B3",38277823,38277823,"B17",89.19
"A","A3",30774993,30774993,"B17",89.15
"B","B3",33490968,33490968,"B17",89.15
"A","A3",37659050,37659050,"B17",89.06
"B","B3",41098622,41098622,"B17",89.06
"A","A3",34388418,34388418,"B17",91.6
"B","B3",37123924,37123924,"B17",91.6
"A","A3",31029673,31029673,"B17",87.25
"B","B3",33223209,33223209,"B17",87.25
"A","A3",38352888,38352888,"B17",87.88
"B","B3",40107136,40107136,"B17",87.88
"A","A3",36561232,36561232,"B17",89.34
"B","B3",39349365,39349365,"B17",89.34
"A","A3",33590558,33590558,"B17",92.61
"B","B3",36068328,36068328,"B17",92.61
"A","A3",29434976,29434976,"B17",87.48
"B","B3",32055860,32055860,"B17",87.48
"A","A3",31930094,31930094,"B17",83.87
"B","B3",34731867,34731867,"B17",83.87
"A","A3",32575734,32575734,"B17",89.76
"B","B3",35342576,35342576,"B17",89.76
"A","A3",36172160,36172160,"B17",90.66
"B","B3",38715736,38715736,"B17",90.66
"A","A3",33700832,33700832,"B17",90.24
"B","B3",36530987,36530987,"B17",90.24
"A","A3",29648216,29648216,"B17",86.05
"B","B3",32228991,32228991,"B17",86.05
"A","A3",31204008,31204008,"B17",86.77
"B","B3",33264221,33264221,"B17",86.77
"A","A3",33926113,33926113,"B17",88.37
"B","B3",35100960,35100960,"B17",88.37
"A","A3",28937611,28937611,"B17",90.31
"B","B3",31575238,31575238,"B17",90.31
"A","A3",37099925,37099925,"B17",88.62
"B","B3",40392359,40392359,"B17",88.62
"A","A3",34878686,34878686,"B17",89.18
"B","B3",37760547,37760547,"B17",89.18
"A","A3",34345507,34345507,"B17",81.97
"B","B3",36687147,36687147,"B17",81.97
"A","A3",32031053,32031053,"B17",93.45
"B","B3",34071965,34071965,"B17",93.45
"A","A3",33096269,33096269,"B17",87.74
"B","B3",35304970,35304970,"B17",87.74
"A","A4",7284298,7284298,"B18",82.14
"B","B4",9157875,9157875,"B18",82.14
"A","A4",6802694,6802694,"B18",81.7
"B","B4",8528973,8528973,"B18",81.7
"A","A4",7991108,7991108,"B18",81.81
"B","B4",9502830,9502830,"B18",81.81
"A","A4",11580777,11580777,"B18",82.01
"B","B4",12624827,12624827,"B18",82.01
"A","A4",9682206,9682206,"B18",82.12
"B","B4",12249690,12249690,"B18",82.12
"A","A4",8912561,8912561,"B18",83.93
"B","B4",11012063,11012063,"B18",83.93
"A","A4",11682978,11682978,"B18",83.34
"B","B4",13347010,13347010,"B18",83.34
"A","A4",8462869,8462869,"B18",81.3
"B","B4",10559557,10559557,"B18",81.3
"A","A4",8243857,8243857,"B18",78.51
"B","B4",9566860,9566860,"B18",78.51
"A","A4",8873500,8873500,"B18",81.71
"B","B4",10609960,10609960,"B18",81.71
"A","A4",9243259,9243259,"B18",81.42
"B","B4",11253485,11253485,"B18",81.42
"A","A4",9431970,9431970,"B18",84.48
"B","B4",11467965,11467965,"B18",84.48
"A","A4",8222334,8222334,"B18",77.96
"B","B4",9873704,9873704,"B18",77.96
"A","A4",11394654,11394654,"B18",82.53
"B","B4",13703515,13703515,"B18",82.53
"A","A4",9415875,9415875,"B18",81.34
"B","B4",11085101,11085101,"B18",81.34
"A","A4",9189509,9189509,"B18",76.65
"B","B4",11166101,11166101,"B18",76.65
"A","A4",11508044,11508044,"B18",86.1
"B","B4",13191385,13191385,"B18",86.1
"A","A4",9936737,9936737,"B18",81.59
"B","B4",12326307,12326307,"B18",81.59
"A","A4",10916796,10916796,"B18",81.18
"B","B4",13013010,13013010,"B18",81.18
"A","A4",8804410,8804410,"B18",79.89
"B","B4",10222051,10222051,"B18",79.89
"A","A4",11184651,11184651,"B18",78.57
"B","B4",12832887,12832887,"B18",78.57
"A","A4",6364444,6364444,"B18",78.22
"B","B4",7866422,7866422,"B18",78.22
"A","A4",11407900,11407900,"B18",84.5
"B","B4",12858393,12858393,"B18",84.5
"A","A4",9521496,9521496,"B18",76.69
"B","B4",11222169,11222169,"B18",76.69
"A","A4",8135293,8135293,"B18",80.29
"B","B4",9755386,9755386,"B18",80.29
"A","A4",9623739,9623739,"B18",84.42
"B","B4",11731631,11731631,"B18",84.42
"A","A4",8441690,8441690,"B18",79.04
"B","B4",10075520,10075520,"B18",79.04
"A","A4",10350567,10350567,"B18",76.52
"B","B4",12413248,12413248,"B18",76.52
"A","A4",9066993,9066993,"B18",80.96
"B","B4",11119712,11119712,"B18",80.96
"A","A4",8877629,8877629,"B18",85.15
"B","B4",10918614,10918614,"B18",85.15
"A","A4",7617195,7617195,"B18",85.58
"B","B4",8948307,8948307,"B18",85.58
"A","A4",6985230,6985230,"B18",78.52
"B","B4",8605510,8605510,"B18",78.52
"A","A4",13608833,13608833,"B19",83.81
"B","B4",13463136,13463136,"B19",83.81
"A","A4",14404548,14404548,"B19",91.51
"B","B4",14675397,14675397,"B19",91.51
"A","A4",13599436,13599436,"B19",89.4
"B","B4",13133875,13133875,"B19",89.4
"A","A4",13127221,13127221,"B19",89.79
"B","B4",12685225,12685225,"B19",89.79
"A","A4",14288679,14288679,"B19",84.18
"B","B4",13951618,13951618,"B19",84.18
"A","A4",11695206,11695206,"B19",86.98
"B","B4",11667549,11667549,"B19",86.98
"A","A4",15699052,15699052,"B19",83.04
"B","B4",15025354,15025354,"B19",83.04
"A","A4",12903897,12903897,"B19",86.14
"B","B4",12598292,12598292,"B19",86.14
"A","A4",15651849,15651849,"B19",86.13
"B","B4",15073520,15073520,"B19",86.13
"A","A4",15411949,15411949,"B19",89.94
"B","B4",14462064,14462064,"B19",89.94
"A","A4",15081984,15081984,"B19",90.36
"B","B4",14272498,14272498,"B19",90.36
"A","A4",12134541,12134541,"B19",80.13
"B","B4",11445581,11445581,"B19",80.13
"A","A4",14360177,14360177,"B19",87.79
"B","B4",13894212,13894212,"B19",87.79
"A","A4",12849504,12849504,"B19",89.77
"B","B4",12386030,12386030,"B19",89.77
"A","A4",15337694,15337694,"B19",81.7
"B","B4",14380807,14380807,"B19",81.7
"A","A4",13855649,13855649,"B19",86.94
"B","B4",13115804,13115804,"B19",86.94
"A","A4",16030670,16030670,"B19",84.74
"B","B4",15741976,15741976,"B19",84.74
"A","A4",11862022,11862022,"B19",88.31
"B","B4",11333258,11333258,"B19",88.31
"A","A4",15262961,15262961,"B19",88.64
"B","B4",14486061,14486061,"B19",88.64
"A","A4",12178328,12178328,"B19",93.63
"B","B4",11687486,11687486,"B19",93.63
"A","A4",12820018,12820018,"B19",86.24
"B","B4",12610511,12610511,"B19",86.24
"A","A4",12918433,12918433,"B19",86.06
"B","B4",12050570,12050570,"B19",86.06
"A","A4",12792785,12792785,"B19",85.87
"B","B4",12480372,12480372,"B19",85.87
"A","A4",13054447,13054447,"B19",89.56
"B","B4",12511495,12511495,"B19",89.56
"A","A4",13425667,13425667,"B19",89.13
"B","B4",12778456,12778456,"B19",89.13
"A","A4",11708267,11708267,"B19",86.8
"B","B4",11579297,11579297,"B19",86.8
"A","A4",11177811,11177811,"B19",89.7
"B","B4",11076970,11076970,"B19",89.7
"A","A4",11696825,11696825,"B19",90.68
"B","B4",11414806,11414806,"B19",90.68
"A","A4",13146959,13146959,"B19",90.36
"B","B4",12765337,12765337,"B19",90.36
"A","A4",15605867,15605867,"B19",82.93
"B","B4",15673474,15673474,"B19",82.93
"A","A4",14611532,14611532,"B19",86.73
"B","B4",13825531,13825531,"B19",86.73
